<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACB,20260327,10.34,10.34,10.34,10.34,1900
AACG,20260327,1.01,1.02,0.9902,1.01,5900
AACI,20260327,9.95,9.95,9.74,9.87,49400
AACIU,20260327,9.99,9.99,9.96,9.96,7300
AACIW,20260327,0.2,0.3,0.1825,0.3,28900
AACOU,20260327,9.97,9.97,9.97,9.97,700
AADR,20260327,79.59,79.96,78.9601,78.9601,4100
AAEQ,20260327,45.382,45.382,45.382,45.382,100
AAL,20260327,10.5,10.619,10.2,10.3,47681400
AALG,20260327,7.67,7.81,7.23,7.3317,84300
AAME,20260327,2.54,2.54,2.38,2.39,8100
AAOI,20260327,101.2,101.5,94.18,98.21,7600800
AAON,20260327,82.6,83.44,80.93,81.48,548900
AAPB,20260327,27.22,27.47,25.925,26.1198,113500
AAPD,20260327,13.96,14.2799,13.8799,14.24,15684500
AAPG,20260327,23.12,23.14,22.89,23.04,3700
AAPL,20260327,253.9,255.493,248.07,248.8,47900000
AAPU,20260327,28.17,28.49,26.87,27.01,1508600
AARD,20260327,3.44,3.68,3.35,3.55,225100
AAUS,20260327,51.0998,51.0998,51.0998,51.0998,100
AAVM,20260327,30.69,30.69,30.5355,30.5355,100
AAXJ,20260327,94.58,94.89,93.765,94,1253300
ABAT,20260327,2.7,2.745,2.64,2.66,2469900
ABCL,20260327,3.31,3.35,3.2401,3.27,2369100
ABCS,20260327,29.6,29.6,29.3019,29.3019,2100
ABEO,20260327,4.32,4.39,4.29,4.29,1167800
ABI,20260327,24.83,24.83,24.83,24.83,100
ABIG,20260327,28.99,28.99,28.5081,28.5081,400
ABLVW,20260327,0.0165,0.0165,0.0164,0.0164,4800
ABNB,20260327,129.22,129.915,122.46,122.87,4207100
ABNG,20260327,14.51,14.73,13.9,13.9689,5300
ABOS,20260327,2.48,2.55,2.25,2.26,924500
ABSI,20260327,2.84,2.96,2.725,2.78,4207300
ABTC,20260327,0.9115,0.9201,0.86,0.86,7724600
ABTS,20260327,1.96,2.3146,1.71,1.91,76000
ABUS,20260327,4.42,4.55,4.28,4.29,1383400
ABVC,20260327,1.07,1.07,0.97,1,75200
ABVE,20260327,0.88,0.8999,0.746,0.7651,3356100
ABVEW,20260327,0.255,0.3189,0.25,0.28,11800
ABVX,20260327,108.24,108.43,102,102.47,1757400
ACAD,20260327,21.25,21.42,20.7466,20.75,1215000
ACB,20260327,3.31,3.312,3.1932,3.2,661600
ACCL,20260327,1.39,1.39,1.33,1.34,26200
ACDC,20260327,6.7,6.82,6.53,6.63,1563000
ACEP,20260327,17.155,17.155,17.04,17.0796,29600
ACET,20260327,6.62,6.66,6.42,6.47,105000
ACFN,20260327,19.17,19.55,18.56,18.69,26700
ACGL,20260327,94.17,94.65,93.35,93.42,2913700
ACGLN,20260327,16.35,16.6,16.3,16.56,98600
ACGLO,20260327,19.75,19.76,19.56,19.61,37700
ACHC,20260327,23.81,24,22.53,22.91,3390700
ACHV,20260327,2.88,2.88,2.63,2.65,1234000
ACIC,20260327,11.42,11.42,11.1,11.13,122600
ACIU,20260327,2.85,2.92,2.7,2.7,260500
ACIW,20260327,40.25,40.25,39.31,39.88,663800
ACLS,20260327,96.07,99.81,96.07,97.35,692100
ACLX,20260327,114.62,114.82,114.54,114.57,1653600
ACMR,20260327,40.56,41.495,39.7301,40.07,968500
ACNB,20260327,47.1,47.615,46.74,47.25,68200
ACNT,20260327,12.73,13.01,12.705,12.88,81600
ACOG,20260327,5.01,5.36,4.87,5.08,111400
ACON,20260327,3.21,3.24,3.0501,3.06,26500
ACONW,20260327,0.0405,0.0405,0.0405,0.0405,200
ACRS,20260327,3.5,3.605,3.4,3.52,2387900
ACRV,20260327,1.38,1.41,1.33,1.33,594600
ACT,20260327,40.72,40.82,40.17,40.17,168600
ACTG,20260327,4.99,4.99,4.765,4.84,375300
ACTU,20260327,2.25,2.25,2.0507,2.15,37300
ACWI,20260327,135.99,136.12,134.26,134.55,3699400
ACWX,20260327,66.7,67.025,66.12,66.33,1316900
ACXP,20260327,3.92,3.9588,3.55,3.76,250200
ADAC.OB,20260327,9.9,9.9,9.9,9.9,100
ADACW,20260327,0.3185,0.3245,0.3,0.3,1800
ADAG,20260327,4.05,4.14,3.62,3.77,135900
ADAM,20260327,7.38,7.38,7.205,7.24,666400
ADAMG,20260327,24.15,24.185,24.075,24.16,26500
ADAMH,20260327,25.01,25.02,24.77,24.81,38100
ADAMI,20260327,24.48,24.48,24.3,24.366,6900
ADAML,20260327,23.42,23.545,23.42,23.5001,9200
ADAMM,20260327,24.49,24.5,24.2,24.4,31600
ADAMN,20260327,22.27,22.27,22.2,22.2,3800
ADAMO,20260327,24.01,24.29,23.78,24.18,46600
ADAMZ,20260327,18.17,18.26,18.02,18.03,6300
ADBE,20260327,239.7875,239.7875,233.155,234.84,4429400
ADBG,20260327,4.44,4.45,4.2289,4.28,2053100
ADEA,20260327,24.09,24.26,23.66,24.19,1183600
ADGM,20260327,1.21,1.23,1.12,1.22,22500
ADI,20260327,310.87,313.185,306.18,307.44,3282100
ADIL,20260327,1.72,1.72,1.6121,1.64,55100
ADMA,20260327,9.47,9.805,8.86,9.25,22371100
ADP,20260327,203.48,204.59,199.19,201.25,3569500
ADPT,20260327,13.84,13.8595,12.02,12.41,4948100
ADSE,20260327,10.56,11.37,10.56,11.37,4400
ADSEW,20260327,0.4499,0.6451,0.43,0.6451,18400
ADSK,20260327,237.63,237.87,229.24,229.84,2233300
ADTN,20260327,12.97,13.1,12.74,12.93,1823000
ADTX,20260327,0.9,0.9031,0.8008,0.81,123700
ADUR,20260327,10.36,10.8399,9.78,9.93,348100
ADUS,20260327,97.15,97.825,94.395,95.19,186500
ADV,20260327,20.63,26.29,20.63,25.57,189800
ADVB,20260327,3.96,4.2,3.79,4.1828,24700
ADXN,20260327,5.8,7.15,5.8,6.7,10500
AEAQ,20260327,9.9,9.9,9.885,9.89,338000
AEBI,20260327,9.14,9.57,9.02,9.41,487600
AEC,20260327,5.36,5.545,5.1,5.31,92400
AEHL,20260327,1.22,1.2721,1.126,1.16,389300
AEHR,20260327,34.32,35.175,32.18,32.52,1460400
AEI,20260327,1.8,1.9504,1.72,1.78,16400
AEIS,20260327,310.63,320.62,303.995,310.76,623100
AEMD,20260327,2.23,2.3476,2.12,2.15,27100
AENT,20260327,7.06,7.48,6.59,6.73,52200
AENTW,20260327,0.65,0.7715,0.6499,0.74,93400
AEP,20260327,128.84,131.51,128.32,130.1,4404400
AERT,20260327,0.33,0.3915,0.31,0.3104,748800
AERTW,20260327,0.0152,0.0152,0.0152,0.0152,1600
AEVA,20260327,13.952,14.09,12.5,12.765,1822100
AEYE,20260327,5.7,5.9499,5.55,5.71,145500
AFBI,20260327,19.43,19.87,19.41,19.41,1100
AFCG,20260327,2.59,2.725,2.58,2.66,296900
AFJK,20260327,26.11,28.7,24.37,24.37,3200
AFJKR,20260327,0.3002,0.3395,0.3,0.3,15100
AFOS,20260327,36,36.1101,35.6,35.6331,7300
AFRI,20260327,9.5473,9.5473,9.31,9.31,1900
