<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACB,20260331,10.36,10.36,10.335,10.34,1600
AACG,20260331,0.87,0.949,0.8208,0.8902,7900
AACI,20260331,9.86,9.86,9.86,9.86,6100
AACIU,20260331,9.96,9.96,9.96,9.96,100
AADR,20260331,81.49,81.63,80.96,81.63,2600
AAEQ,20260331,45.85,46.5174,45.85,46.5174,1400
AAL,20260331,10.38,10.8,10.26,10.74,58813600
AALG,20260331,7.39,8.01,7.29,7.925,86900
AAME,20260331,2.59,2.64,2.2,2.33,38600
AAOI,20260331,86.685,87.57,78.575,84.59,13094200
AAON,20260331,80.5,86.79,80.5,82.75,914100
AAPB,20260331,25.89,27.37,25.7,26.99,67000
AAPD,20260331,14.31,14.3301,13.86,13.96,15153500
AAPG,20260331,23.74,23.87,23.74,23.87,2200
AAPL,20260331,247.91,255.48,247.101,253.79,49598000
AAPU,20260331,26.81,28.41,26.65,28.06,1775000
AARD,20260331,3.75,3.8989,3.49,3.77,394300
AAUS,20260331,51.65,52.3832,51.65,52.3832,2000
AAVM,20260331,30.856,31.3466,30.74,31.3466,2600
AAXJ,20260331,93.37,96.36,93.07,96.29,2555100
ABAT,20260331,2.54,2.85,2.54,2.79,4931000
ABCL,20260331,3.35,3.57,3.35,3.49,2989100
ABCS,20260331,29.53,29.93,29.4699,29.8223,1700
ABEO,20260331,4.3,4.505,4.3,4.48,1097600
ABI,20260331,24.85,24.85,24.85,24.85,100
ABIG,20260331,29.14,29.3,29.14,29.2952,8000
ABLV,20260331,0.62,0.641,0.62,0.641,1100
ABLVW,20260331,0.0177,0.0177,0.0177,0.0177,300
ABNB,20260331,125.07,127.055,123.165,126.28,3644100
ABNG,20260331,14.45,14.85,14.14,14.7232,4600
ABOS,20260331,2.19,2.42,2.19,2.36,413000
ABSI,20260331,2.815,3.07,2.815,3,3798600
ABTC,20260331,0.8792,0.935,0.8,0.9244,16505800
ABTS,20260331,1.75,1.83,1.52,1.54,39500
ABUS,20260331,4.37,4.565,4.37,4.5,2063200
ABVC,20260331,0.94,0.98,0.92,0.9701,81100
ABVE,20260331,0.774,1.02,0.7701,1.01,3007900
ABVEW,20260331,0.3189,0.319,0.27,0.29,12400
ABVX,20260331,102.39,112.91,102.39,111.35,1547400
ACAAU,20260331,10,10.025,9.995,10,1321500
ACAD,20260331,21.26,22.39,21.26,22.26,2211200
ACB,20260331,3.14,3.33,3.14,3.27,874800
ACCL,20260331,1.33,1.37,1.33,1.36,16900
ACDC,20260331,6.23,6.41,6,6.2,1423600
ACEP,20260331,17.35,17.4244,17.35,17.4244,11600
ACET,20260331,6.26,6.82,6.26,6.81,72800
ACFN,20260331,16.85,17.795,16.4401,17,13900
ACGL,20260331,96.01,96.48,94.05,95.99,2103500
ACGLN,20260331,16.57,16.6397,16.39,16.43,191600
ACGLO,20260331,19.7,19.7299,19.41,19.48,119300
ACHC,20260331,22.98,23.73,22.85,23.39,1853200
ACHV,20260331,2.71,2.99,2.71,2.94,1002600
ACIC,20260331,11.39,11.39,11.17,11.25,117000
ACIU,20260331,2.61,2.77,2.59,2.75,127500
ACIW,20260331,40.88,41.3,40.19,41.01,604700
ACLS,20260331,91.87,93.81,89.16,93.08,592100
ACLX,20260331,114.8,114.84,114.65,114.82,1072400
ACMR,20260331,38.19,39.39,37.16,39.35,1498000
ACNB,20260331,47.98,48.37,47.49,47.87,48200
ACNT,20260331,13.28,13.48,13.15,13.31,122000
ACOG,20260331,5.53,5.64,5,5.49,306000
ACON,20260331,3.08,3.34,3.08,3.27,23600
ACONW,20260331,0.0479,0.048,0.034,0.0478,35600
ACRS,20260331,3.52,3.765,3.52,3.75,2115500
ACRV,20260331,1.34,1.4,1.315,1.39,344500
ACT,20260331,40.97,41.06,40.23,40.81,225800
ACTG,20260331,4.88,4.91,4.78,4.81,216900
ACTU,20260331,2.38,2.74,2.24,2.74,113000
ACWI,20260331,135.73,138.52,135.45,138.37,9946200
ACWX,20260331,66.98,68.52,66.87,68.47,4218600
ACXP,20260331,3.46,3.74,3.36,3.71,196100
ADAC.OB,20260331,9.89,9.9,9.89,9.9,10300
ADACW,20260331,0.3,0.31,0.3,0.3,3400
ADAG,20260331,3.76,4.0499,3.56,3.92,56400
ADAM,20260331,7.27,7.39,7.165,7.36,740800
ADAMG,20260331,24.18,24.37,24.18,24.3,15600
ADAMH,20260331,25,25.08,24.83,24.85,47800
ADAMI,20260331,24.3,24.589,24.3,24.499,9600
ADAML,20260331,23.48,23.63,23.48,23.48,53400
ADAMM,20260331,24.6,24.64,24.4,24.46,81300
ADAMN,20260331,22.31,22.31,21.42,21.69,58800
ADAMO,20260331,24.3,24.465,24.205,24.44,6100
ADAMZ,20260331,17.96,18.19,17.55,17.71,11600
ADBE,20260331,241.67,244.03,239.51,243.08,4575900
ADBG,20260331,4.52,4.625,4.46,4.59,2598300
ADEA,20260331,23.52,24.22,23.32,24.03,1571300
ADGM,20260331,1.06,1.1608,1.06,1.15,15800
ADI,20260331,309.37,319.32,306.5,318.14,4285800
ADIL,20260331,1.7,1.85,1.6971,1.79,102700
ADMA,20260331,9.15,9.42,8.95,9.01,7315100
