<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACB,20260512,10.43,10.43,10.43,10.43,100
AACBR,20260512,0.2776,0.2776,0.2776,0.2776,500
AACG,20260512,1.1847,1.2213,1.1518,1.2213,10200
AACI,20260512,9.94,9.94,9.94,9.94,200
AACIW,20260512,0.2497,0.2497,0.2201,0.24,1000
AACOU,20260512,9.96,9.96,9.96,9.96,500
AACOW,20260512,0.35,0.35,0.3499,0.35,6700
AADR,20260512,84.78,86.085,84.78,86.085,1000
AAEQ,20260512,52.6747,52.6747,52.6747,52.6747,100
AAL,20260512,12.65,12.72,12.38,12.69,48034900
AALG,20260512,10.63,10.6697,10.24,10.6697,58700
AAME,20260512,2.49,2.5,2.37,2.4622,10500
AAOI,20260512,178,208,173.5,188.28,16391200
AAON,20260512,138,139.055,126.165,133.66,1751700
AAPB,20260512,35.52,36.14,35.52,36.1,41000
AAPD,20260512,12.07,12.1,11.99,12.005,9038600
AAPG,20260512,21.96,22,21.012,21.16,12000
AAPL,20260512,292.56,295.27,292.56,294.8,45748100
AAPU,20260512,36.71,37.41,36.705,37.33,1442800
AARD,20260512,5.67,6.17,5.555,6.11,181800
AAUS,20260512,59.0834,59.0834,59.0834,59.0834,100
AAVM,20260512,34.2,34.2458,34.14,34.2458,400
AAXJ,20260512,114.51,115.06,112.31,113.74,682900
ABAT,20260512,3.3,3.3981,3.15,3.25,5090500
ABCL,20260512,4.76,4.98,4.45,4.95,16942400
ABCS,20260512,31.62,31.8591,31.56,31.8591,3900
ABEO,20260512,5.83,5.83,5.575,5.68,1282300
ABI,20260512,24.795,24.795,24.795,24.795,100
ABIG,20260512,33.34,33.4037,33.29,33.4037,1000
ABLV,20260512,1.05,1.05,0.9899,1.03,119700
ABLVW,20260512,0.0194,0.0194,0.0194,0.0194,200
ABNB,20260512,137.58,138.5151,134.3,135.48,4419900
ABNG,20260512,16.49,16.64,16.49,16.5755,700
ABOS,20260512,2.58,2.615,2.44,2.48,250200
ABSI,20260512,5.68,5.75,5.2708,5.355,4078800
ABTC,20260512,1.17,1.17,1.1,1.14,14217000
ABTS,20260512,0.9,1.01,0.8507,0.97,99100
ABUS,20260512,4.35,4.38,4.24,4.31,1026000
ABVC,20260512,1.02,1.08,1.0124,1.05,79200
ABVE,20260512,0.58,0.5969,0.5156,0.5378,2007600
ABVEW,20260512,0.147,0.17,0.147,0.17,500
ABVX,20260512,123.11,123.745,120.5,121.39,734400
ACAA,20260512,9.94,9.94,9.94,9.94,100
ACAAU,20260512,10.1,10.3,10.01,10.01,800
ACAAW,20260512,0.46,0.48,0.46,0.48,2000
ACAD,20260512,21.88,22.0999,21.57,21.72,1125200
ACB,20260512,3.41,3.4313,3.315,3.36,558200
ACCL,20260512,1.44,1.4947,1.4106,1.4106,11800
ACDC,20260512,6.82,6.94,6.66,6.84,1072700
ACEP,20260512,19.4694,19.4694,19.4694,19.4694,100
ACET,20260512,8.17,8.17,7.81,7.95,63800
ACFN,20260512,17.2,17.2,16.5,16.77,12300
ACGCU,20260512,9.995,9.995,9.9827,9.99,7900
ACGL,20260512,94.12,94.95,93.43,94.31,2294500
ACGLN,20260512,17.19,17.19,17.05,17.085,13500
ACGLO,20260512,20.28,20.32,20.28,20.28,7700
ACHC,20260512,25.07,26.45,24.45,26.02,2976100
ACHV,20260512,5.35,6.15,5.35,5.99,2833200
ACIC,20260512,10.18,10.61,10.135,10.59,531900
ACIU,20260512,2.84,2.86,2.66,2.77,446300
ACIW,20260512,42.93,43.15,41.815,42.18,788100
ACLS,20260512,159.2,163.055,153.02,161.64,751700
ACMR,20260512,61.59,63.8,59.35,62.99,2205500
ACNB,20260512,52.36,52.71,51.69,52.64,34100
ACNT,20260512,13.49,13.76,13.03,13.76,90000
ACOG,20260512,5.96,6.15,5.46,5.49,59900
ACON,20260512,3.16,3.19,3.03,3.15,81200
ACONW,20260512,0.0342,0.0342,0.0326,0.0326,2500
ACRS,20260512,4.95,4.95,4.79,4.88,949300
ACRV,20260512,1.91,1.925,1.86,1.89,274800
ACT,20260512,43.14,43.14,42.08,42.8,329600
ACTG,20260512,4.62,4.7,4.61,4.69,239900
ACTU,20260512,2.86,3.085,2.85,2.89,122500
ACWI,20260512,154.58,154.82,153.34,154.65,3421000
ACWX,20260512,74.67,74.9201,74.04,74.69,1042400
ACXP,20260512,2.18,2.18,1.86,2.05,250800
ADACU,20260512,10.25,10.25,10.25,10.25,900
ADACW,20260512,0.3413,0.4469,0.3413,0.4046,3600
ADAG,20260512,3.69,3.7,3.56,3.66,30800
ADAM,20260512,8.64,9.03,8.52,8.87,1780500
ADAMG,20260512,25.26,25.36,25.26,25.305,24200
ADAMH,20260512,25.7001,25.7001,25.6,25.7,6400
ADAMI,20260512,25.31,25.46,25.28,25.31,9400
ADAML,20260512,24.1,24.24,24.1,24.235,4300
ADAMM,20260512,25.5,25.5799,25.46,25.51,12400
ADAMN,20260512,23.55,23.55,23.41,23.53,21000
ADAMO,20260512,25.26,25.29,25.14,25.2788,22300
ADAMZ,20260512,18.6499,18.6499,18.6499,18.6499,500
ADBE,20260512,247,247.58,240.4,240.83,3234000
